Computer name,User  Account ,Adobe CC software ,Operating System ,Last Logon Time Stamp
16063-6MM0G2,rayr,Bridge CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,InCopy CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Muse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Prelude CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Fuse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Scout CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16065-7MM0G2,liy,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/26/2018 18:38
16066-2MM0G2,huangsu,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:36
16067-Y5M0G2,marypete,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:35
16097-1WK0G2,velezi,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Audition CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Bridge CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,InCopy CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Fuse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Muse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,After Effects CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Prelude CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Scout CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16100-56M0G2,rossgr,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Fuse CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,InCopy CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Prelude CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Muse CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,InDesign CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Scout CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,After Effects CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16104-JSM0G2,malu,InCopy CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Audition CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,After Effects CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Bridge CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Fuse CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,InDesign CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Prelude CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Muse CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Scout CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16117-26W6H2,pharisc,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:50
16117-26W6H2,pharisc,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:50
16117-26W6H2,pharisc,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:50
